日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/02/27,"37,947,889","9,052,540,803",238.50,239.50,237.00,239.00,-0.50,"9,931"
108/03/04,"45,164,513","10,691,130,829",239.50,239.50,234.50,235.50,-3.50,"13,323"
108/03/05,"23,708,407","5,533,050,748",234.00,234.50,232.50,233.00,-2.50,"8,706"
108/03/06,"20,811,226","4,872,352,124",235.00,235.50,233.50,234.00,+1.00,"7,090"
108/03/07,"17,226,192","4,029,782,428",235.00,235.00,233.00,234.00, 0.00,"5,768"
108/03/08,"22,535,659","5,183,171,608",231.00,231.50,229.00,230.00,-4.00,"8,931"
108/03/11,"34,282,793","7,835,079,913",228.00,230.50,227.50,230.50,+0.50,"7,451"
108/03/12,"23,839,972","5,601,351,324",233.00,237.00,232.50,235.50,+5.00,"9,253"
108/03/13,"22,493,195","5,308,051,755",234.00,237.00,234.00,237.00,+1.50,"6,269"
108/03/14,"17,281,356","4,077,045,380",239.00,239.00,234.00,234.50,-2.50,"6,564"
108/03/15,"34,542,729","8,231,572,752",237.00,239.50,235.50,239.00,+4.50,"8,872"
108/03/18,"27,040,532","6,493,129,050",239.50,241.00,239.00,241.00,+2.00,"10,690"
108/03/19,"14,620,009","3,496,720,720",239.00,240.50,238.00,240.50,-0.50,"7,105"
108/03/20,"23,055,971","5,563,557,011",242.00,242.00,239.50,242.00,+1.50,"6,757"
108/03/21,"27,514,502","6,710,510,004",242.50,245.50,241.00,245.50,+3.50,"11,071"
108/03/22,"22,996,467","5,680,726,299",248.00,248.50,244.50,248.50,+3.00,"10,485"
108/03/25,"19,273,254","4,662,705,968",240.50,243.50,240.50,241.50,-7.00,"8,468"
108/03/26,"21,053,170","5,109,273,236",243.00,244.00,241.00,244.00,+2.50,"6,630"
108/03/27,"23,622,089","5,703,467,700",242.00,242.50,240.50,241.50,-2.50,"7,603"
108/03/28,"13,998,054","3,379,510,718",240.50,242.50,240.00,242.00,+0.50,"3,948"
108/03/29,"31,024,810","7,568,601,014",243.00,245.50,240.50,245.50,+3.50,"6,712"
108/04/01,"35,330,656","8,758,161,220",251.00,251.00,245.00,245.50, 0.00,"13,292"
108/04/02,"25,189,053","6,226,523,038",249.50,249.50,246.00,246.00,+0.50,"9,171"
108/04/03,"28,581,323","7,075,597,562",249.00,249.00,246.50,246.50,+0.50,"8,067"
108/04/08,"46,426,821","11,682,512,762",251.00,253.00,250.50,253.00,+6.50,"16,430"
108/04/09,"22,745,674","5,760,337,782",253.00,254.00,252.00,254.00,+1.00,"8,323"
108/04/10,"33,174,934","8,403,528,302",253.00,254.50,252.00,254.00, 0.00,"9,992"
108/04/11,"25,146,840","6,347,861,680",253.00,254.00,251.50,252.00,-2.00,"8,284"
108/04/12,"13,888,148","3,496,444,666",251.50,253.00,251.00,252.00, 0.00,"4,931"
108/04/15,"17,257,002","4,403,988,510",255.00,256.00,254.00,255.50,+3.50,"6,739"
108/04/16,"20,231,648","5,185,697,928",257.00,257.00,255.50,257.00,+1.50,"7,676"
108/04/17,"39,037,191","10,202,504,410",260.00,263.00,259.50,261.50,+4.50,"13,486"
108/04/18,"48,525,490","12,836,006,732",264.00,266.00,263.50,264.50,+3.00,"12,208"
108/04/19,"47,698,699","12,712,409,558",269.00,269.50,263.50,264.50, 0.00,"14,431"
108/04/22,"24,967,393","6,635,995,145",266.50,267.50,265.00,266.00,+1.50,"8,527"
108/04/23,"26,251,847","7,017,363,629",266.50,268.00,266.00,268.00,+2.00,"9,394"
108/04/24,"37,386,755","10,044,241,090",270.00,270.00,267.50,269.00,+1.00,"9,687"
108/04/25,"36,572,455","9,800,038,536",268.50,269.00,267.00,267.50,-1.50,"7,331"
108/04/26,"51,743,804","13,459,329,059",262.00,263.00,257.50,260.00,-7.50,"16,674"
108/04/29,"32,651,618","8,477,117,257",260.00,262.00,258.50,259.50,-0.50,"10,407"
108/04/30,"40,446,419","10,484,399,861",260.00,260.50,258.00,259.00,-0.50,"10,939"
108/05/02,"27,376,394","7,122,135,656",261.50,262.50,258.50,259.00, 0.00,"9,110"
108/05/03,"30,200,246","7,940,572,444",262.00,265.00,260.50,265.00,+6.00,"10,068"
108/05/06,"33,688,187","8,717,053,470",260.00,260.00,258.00,259.00,-6.00,"12,535"
108/05/07,"25,686,126","6,719,199,455",259.50,263.00,259.00,262.50,+3.50,"8,339"
108/05/08,"25,902,364","6,750,083,504",260.00,261.50,259.50,260.00,-2.50,"7,905"
108/05/09,"34,166,574","8,798,140,796",259.50,259.50,256.00,256.50,-3.50,"10,995"
108/05/10,"18,868,212","4,844,594,484",257.00,259.00,255.00,256.00,-0.50,"8,009"
108/05/13,"29,317,535","7,374,249,589",253.00,254.00,249.50,250.50,-5.50,"11,974"
108/05/14,"45,620,708","11,345,067,455",247.50,251.00,245.00,248.50,-2.00,"14,283"
108/05/15,"37,223,479","9,327,051,888",251.00,252.00,249.00,249.00,+0.50,"12,041"
108/05/16,"30,331,519","7,520,908,612",248.50,249.50,246.00,247.00,-2.00,"11,402"
108/05/17,"40,006,856","9,775,372,898",249.00,249.00,241.50,241.50,-5.50,"15,217"
108/05/20,"47,097,661","11,303,513,908",242.50,243.00,238.00,238.00,-3.50,"13,099"
108/05/21,"82,872,775","19,418,705,158",233.50,236.00,232.50,234.00,-4.00,"25,418"
108/05/22,"36,289,034","8,669,172,710",236.50,240.50,235.50,238.00,+4.00,"14,019"
108/05/23,"62,258,627","14,379,543,985",233.50,233.50,230.00,230.00,-8.00,"24,974"
108/05/24,"38,226,789","8,866,253,632",230.00,234.00,230.00,233.00,+3.00,"14,586"
108/05/27,"37,447,033","8,697,538,216",234.00,235.00,231.00,231.00,-2.00,"13,895"
108/05/28,"99,322,033","22,910,765,567",232.00,232.00,230.50,230.50,-0.50,"10,122"
108/05/29,"32,260,236","7,385,029,780",228.00,230.50,227.00,229.50,-1.00,"10,233"
108/05/30,"40,375,328","9,292,745,636",230.00,231.50,229.00,231.00,+1.50,"8,772"
108/05/31,"49,163,217","11,559,578,381",232.00,237.50,231.00,235.50,+4.50,"14,365"
108/06/03,"36,687,092","8,651,389,851",235.50,238.50,232.00,238.00,+2.50,"8,857"
108/06/04,"24,443,428","5,745,045,809",237.50,238.00,233.00,233.00,-5.00,"11,779"
108/06/05,"35,901,584","8,461,930,934",238.00,238.00,234.00,235.00,+2.00,"12,064"
108/06/06,"34,651,731","8,008,768,323",231.50,232.00,229.50,232.00,-3.00,"14,723"
108/06/10,"35,521,888","8,442,986,620",237.50,240.00,234.50,240.00,+8.00,"15,588"
108/06/11,"34,691,670","8,448,805,962",240.00,246.00,239.00,244.50,+4.50,"13,157"
108/06/12,"30,409,556","7,469,805,086",244.50,247.50,243.00,246.00,+1.50,"11,457"
108/06/13,"33,731,724","8,136,137,708",242.50,244.00,240.00,240.00,-6.00,"13,552"
108/06/14,"35,403,556","8,396,819,832",238.50,239.50,236.00,236.00,-4.00,"14,911"
108/06/17,"51,692,012","12,043,369,475",231.50,235.00,230.50,233.00,-3.00,"20,943"
108/06/18,"28,798,087","6,758,454,612",234.00,235.50,233.00,235.50,+2.50,"9,681"
108/06/19,"50,234,372","12,181,979,568",242.50,244.00,240.50,244.00,+8.50,"20,528"
108/06/20,"39,717,291","9,697,726,719",242.00,245.50,241.00,245.00,+1.00,"13,879"
108/06/21,"62,136,304","15,398,139,830",248.00,248.50,246.00,248.50,+3.50,"19,049"
108/06/24,"43,460,507","10,476,936,660",241.00,242.00,240.00,241.00,X0.00,"17,780"
108/06/25,"29,735,283","7,118,002,390",241.00,241.50,237.00,238.50,-2.50,"11,130"
108/06/26,"28,770,041","6,757,991,717",235.00,236.50,234.00,234.50,-4.00,"13,535"
108/06/27,"42,007,834","10,063,332,494",236.00,241.50,236.00,240.50,+6.00,"14,983"
108/06/28,"28,085,212","6,715,488,371",241.50,241.50,238.00,239.00,-1.50,"8,987"
108/07/01,"66,370,875","16,445,222,750",245.50,250.00,245.00,248.50,+9.50,"29,551"
108/07/02,"26,832,202","6,671,951,743",249.50,250.00,247.50,249.00,+0.50,"12,531"
108/07/03,"29,549,774","7,190,777,082",244.00,245.00,242.00,242.50,-6.50,"16,033"
108/07/04,"18,691,240","4,561,556,160",244.50,245.00,242.50,244.00,+1.50,"8,565"
108/07/05,"27,317,074","6,624,379,927",244.50,245.00,241.50,243.00,-1.00,"9,013"
108/07/08,"29,190,909","7,057,462,187",240.00,244.50,240.00,242.50,-0.50,"10,552"
108/07/09,"16,538,987","3,998,096,596",241.50,243.00,240.50,242.00,-0.50,"6,486"
108/07/10,"23,812,131","5,839,691,357",243.00,247.00,243.00,247.00,+5.00,"12,366"
108/07/11,"31,296,289","7,809,358,257",250.00,250.00,247.50,250.00,+3.00,"14,360"
108/07/12,"23,868,432","5,984,689,000",252.00,252.00,249.50,250.50,+0.50,"8,363"
108/07/15,"34,264,300","8,663,129,910",251.00,254.50,249.50,254.50,+4.00,"12,174"
108/07/16,"26,141,249","6,678,755,679",254.00,256.50,253.50,256.00,+1.50,"8,994"
108/07/17,"34,346,648","8,686,815,824",254.00,254.00,251.00,252.00,-4.00,"11,106"
108/07/18,"20,908,575","5,300,082,470",252.00,254.50,251.50,254.00,+2.00,"8,245"
108/07/19,"59,879,798","15,573,278,932",259.50,261.00,259.00,259.00,+5.00,"21,827"
108/07/22,"31,863,639","8,385,222,407",263.00,264.00,262.00,264.00,+5.00,"13,424"
108/07/23,"29,273,223","7,734,089,131",265.50,266.50,262.50,264.00, 0.00,"12,791"
108/07/24,"24,511,039","6,484,708,226",266.50,266.50,263.00,265.00,+1.00,"10,617"
108/07/25,"30,698,545","8,091,922,380",264.00,265.00,261.50,265.00, 0.00,"10,643"
108/07/26,"20,768,071","5,434,082,968",261.00,262.50,261.00,261.00,-4.00,"8,850"
108/07/29,"18,473,320","4,822,762,518",260.00,262.00,259.50,261.00, 0.00,"6,681"
108/07/30,"22,895,612","5,975,389,270",262.50,263.00,260.00,260.00,-1.00,"7,191"
108/07/31,"36,365,601","9,413,416,604",260.00,260.00,257.00,259.50,-0.50,"10,468"
108/08/01,"30,107,526","7,722,031,382",257.50,257.50,255.50,256.50,-3.00,"11,372"
108/08/02,"54,165,644","13,627,068,452",252.00,253.50,250.50,251.50,-5.00,"18,096"
108/08/05,"52,835,721","13,092,403,583",251.00,252.00,245.50,246.50,-5.00,"20,136"
108/08/06,"58,916,879","14,440,787,992",240.00,250.00,240.00,248.50,+2.00,"22,358"
108/08/07,"29,435,460","7,305,272,500",250.00,250.50,246.50,248.00,-0.50,"11,208"
108/08/08,"30,140,266","7,599,200,564",248.00,254.00,248.00,253.50,+5.50,"11,228"
108/08/12,"24,732,603","6,242,935,989",254.50,254.50,251.00,251.00,-2.50,"8,415"
108/08/13,"25,045,107","6,204,239,476",249.00,249.50,246.50,246.50,-4.50,"11,377"
108/08/14,"36,336,703","9,142,333,535",252.50,254.00,249.50,249.50,+3.00,"13,609"
108/08/15,"28,277,412","6,994,442,633",247.00,248.50,246.00,248.00,-1.50,"10,852"
108/08/16,"25,696,715","6,420,744,887",249.50,252.00,248.00,250.00,+2.00,"8,994"
108/08/19,"25,098,514","6,326,683,127",251.50,253.00,250.50,252.00,+2.00,"9,398"
108/08/20,"20,620,494","5,233,263,533",254.00,254.50,252.50,254.50,+2.50,"8,214"
108/08/21,"20,269,296","5,152,545,480",254.50,255.00,253.00,254.50, 0.00,"7,383"
108/08/22,"22,136,840","5,659,296,700",257.00,257.50,254.00,254.00,-0.50,"8,794"
108/08/23,"14,772,877","3,748,071,178",253.50,254.50,253.00,254.00, 0.00,"5,663"
108/08/26,"31,740,620","7,910,873,500",249.00,250.50,248.50,248.50,-5.50,"13,388"
108/08/27,"53,664,951","13,410,582,151",250.50,251.00,248.50,250.00,+1.50,"8,939"
108/08/28,"15,280,882","3,852,096,070",250.50,253.00,250.50,252.00,+2.00,"6,829"
108/08/29,"20,085,767","5,078,703,588",253.00,254.00,251.00,254.00,+2.00,"6,596"
108/08/30,"35,299,201","9,092,482,858",256.50,259.00,256.00,259.00,+5.00,"13,703"
108/09/02,"14,776,854","3,800,453,292",258.00,258.00,256.00,257.50,-1.50,"7,608"
108/09/03,"26,086,495","6,642,868,555",256.50,258.00,253.00,254.00,-3.50,"11,210"
108/09/04,"23,697,733","6,081,456,520",254.00,258.00,254.00,257.50,+3.50,"9,291"
108/09/05,"49,041,728","12,869,665,251",263.00,263.00,260.50,263.00,+5.50,"22,796"
108/09/06,"26,609,515","7,016,868,801",265.00,265.00,263.00,263.50,+0.50,"11,957"
108/09/09,"17,317,833","4,585,545,966",265.50,266.00,263.50,265.00,+1.50,"8,762"
108/09/10,"30,019,866","7,862,297,242",263.50,264.00,260.50,261.50,-3.50,"11,831"
108/09/11,"36,266,015","9,508,884,445",264.00,264.50,260.50,263.00,+1.50,"12,058"
108/09/12,"38,792,293","10,198,483,555",265.00,265.00,261.50,262.50,-0.50,"8,282"
108/09/16,"38,913,966","10,258,240,252",262.00,265.50,261.50,265.50,+3.00,"11,120"
108/09/17,"30,069,844","7,979,032,930",266.50,266.50,264.50,265.00,-0.50,"9,222"
108/09/18,"51,360,759","13,754,334,364",267.00,269.50,266.50,267.00,+2.00,"17,993"
108/09/19,"27,165,567","7,216,457,755",268.00,268.00,264.00,265.00,X0.00,"10,194"
108/09/20,"44,555,865","11,785,924,559",266.00,266.50,264.00,264.00,-1.00,"9,109"
108/09/23,"14,220,208","3,749,146,092",264.00,264.00,263.00,264.00, 0.00,"5,647"
108/09/24,"24,304,943","6,419,420,695",263.50,265.50,262.00,265.00,+1.00,"9,180"
108/09/25,"23,244,163","6,144,037,875",262.50,266.00,262.00,266.00,+1.00,"7,145"
108/09/26,"34,128,103","9,139,219,995",269.00,269.50,266.50,268.00,+2.00,"11,861"
108/09/27,"44,242,817","12,021,629,536",271.50,272.50,271.00,272.00,+4.00,"16,626"
108/10/01,"75,248,890","20,886,838,992",273.00,280.50,273.00,280.00,+8.00,"26,648"
108/10/02,"30,572,953","8,553,297,334",280.00,281.00,279.00,279.50,-0.50,"12,294"
108/10/03,"35,874,864","9,891,620,358",274.00,277.50,274.00,276.50,-3.00,"12,853"
108/10/04,"35,814,613","9,924,872,301",279.50,280.00,275.00,276.50, 0.00,"13,780"
108/10/07,"17,750,230","4,944,376,000",279.00,279.50,277.50,278.00,+1.50,"7,757"
108/10/08,"39,868,551","11,341,522,526",283.50,286.50,282.50,286.50,+8.50,"16,721"
108/10/09,"34,895,456","9,890,256,397",283.50,286.00,282.00,282.00,-4.50,"14,567"
108/10/14,"53,403,517","15,508,059,122",291.50,291.50,288.50,290.00,+8.00,"17,812"
108/10/15,"54,754,830","16,088,110,873",293.50,296.00,292.00,293.50,+3.50,"15,485"
108/10/16,"42,917,144","12,670,374,493",298.00,298.00,293.50,296.50,+3.00,"16,650"
108/10/17,"41,920,938","12,296,120,182",295.00,295.50,292.00,293.50,-3.00,"15,170"
108/10/18,"45,460,984","13,299,843,176",293.00,295.50,291.00,293.00,-0.50,"18,000"
108/10/21,"35,860,365","10,389,254,035",291.00,291.00,288.50,290.00,-3.00,"14,682"
108/10/22,"26,525,020","7,767,636,380",292.50,294.00,291.50,294.00,+4.00,"10,186"
108/10/23,"30,382,408","8,877,572,772",293.50,293.50,290.50,293.00,-1.00,"11,753"
108/10/24,"29,040,827","8,488,069,650",294.50,294.50,291.00,293.00, 0.00,"10,649"
108/10/25,"25,082,711","7,362,074,526",294.50,294.50,292.50,293.50,+0.50,"11,064"
108/10/28,"20,216,561","5,958,714,595",295.00,295.50,294.00,294.50,+1.00,"9,257"
108/10/29,"37,130,131","11,044,649,541",297.00,298.50,296.50,298.50,+4.00,"14,060"
108/10/30,"32,370,342","9,646,551,600",298.50,299.50,296.50,299.50,+1.00,"11,084"
108/10/31,"43,123,514","12,921,309,531",300.00,301.50,298.50,298.50,-1.00,"12,997"
108/11/01,"30,216,678","8,998,151,212",299.50,299.50,296.50,299.00,+0.50,"10,241"
108/11/04,"45,155,671","13,767,873,778",302.50,308.00,301.00,307.00,+8.00,"18,475"
108/11/05,"32,253,184","9,965,563,625",307.50,310.50,307.00,310.50,+3.50,"13,698"
108/11/06,"22,149,743","6,864,516,290",309.00,311.50,308.00,311.00,+0.50,"9,660"
108/11/07,"28,453,659","8,769,417,841",310.00,310.00,306.50,309.00,-2.00,"12,277"
108/11/08,"26,230,542","8,040,782,450",308.50,309.00,305.50,305.50,-3.50,"12,740"
108/11/11,"35,285,583","10,660,082,266",305.00,305.00,300.00,301.00,-4.50,"15,246"
108/11/12,"19,016,708","5,774,255,431",302.50,305.00,302.00,305.00,+4.00,"8,957"
108/11/13,"18,422,438","5,583,245,970",303.00,304.00,301.50,304.00,-1.00,"6,039"
108/11/14,"15,734,835","4,776,767,840",304.50,305.00,302.00,303.50,-0.50,"6,219"
108/11/15,"29,038,445","8,891,701,115",305.50,307.50,304.50,307.00,+3.50,"8,672"
108/11/18,"18,741,325","5,796,331,075",308.50,311.00,307.00,311.00,+4.00,"8,420"
108/11/19,"33,096,197","10,365,611,120",312.50,315.00,311.00,315.00,+4.00,"11,121"
108/11/20,"24,538,973","7,681,229,345",314.00,314.00,312.00,313.50,-1.50,"9,143"
108/11/21,"30,163,833","9,329,845,096",309.50,311.00,307.00,311.00,-2.50,"11,638"
108/11/22,"26,492,984","8,188,665,024",310.00,310.50,308.00,309.00,-2.00,"9,407"
108/11/25,"19,855,177","6,133,713,443",310.50,310.50,307.00,307.00,-2.00,"8,067"
108/11/26,"101,916,622","31,332,308,518",310.00,310.50,307.00,307.00, 0.00,"10,321"
108/11/27,"18,527,648","5,732,316,828",307.50,311.50,307.50,311.00,+4.00,"7,916"
108/11/28,"19,718,982","6,111,322,584",310.00,312.00,308.50,309.50,-1.50,"9,289"
108/11/29,"32,423,561","9,922,872,967",309.00,309.50,305.00,305.00,-4.50,"15,368"
108/12/02,"25,516,807","7,844,458,306",307.00,308.00,306.50,307.50,+2.50,"8,465"
108/12/03,"27,686,319","8,472,595,177",305.00,307.00,305.00,307.00,-0.50,"9,206"
108/12/04,"34,911,686","10,652,239,802",305.00,306.00,304.00,306.00,-1.00,"9,989"
108/12/05,"39,349,842","12,240,671,524",309.00,312.00,309.00,312.00,+6.00,"13,587"
108/12/06,"18,402,703","5,771,010,050",315.00,316.00,311.00,313.00,+1.00,"8,974"
108/12/09,"23,556,081","7,433,484,496",314.00,316.50,314.00,316.00,+3.00,"10,583"
108/12/10,"20,847,594","6,540,475,540",315.00,315.50,312.50,313.50,-2.50,"8,702"
108/12/11,"34,329,148","10,866,410,212",314.00,319.00,313.00,319.00,+5.50,"11,689"
108/12/12,"52,801,851","17,446,169,339",325.00,334.50,324.00,331.50,+12.50,"22,555"
108/12/13,"60,843,939","20,697,194,061",340.00,343.00,338.00,339.00,+7.50,"23,025"
108/12/16,"48,340,188","16,272,523,200",336.50,338.50,336.00,336.00,-3.00,"16,938"
108/12/17,"41,428,458","14,153,896,438",335.00,345.00,335.00,345.00,+9.00,"16,808"
108/12/18,"42,486,841","14,594,689,501",341.50,345.00,341.50,344.50,-0.50,"15,836"
108/12/19,"55,667,012","18,774,880,620",340.00,342.00,335.00,335.00,X0.00,"28,105"
108/12/20,"86,280,459","28,483,237,354",332.00,333.00,328.50,329.00,-6.00,"28,112"
108/12/23,"26,911,340","8,923,609,754",329.50,334.00,329.50,334.00,+5.00,"12,310"
108/12/24,"13,783,907","4,591,661,991",334.00,334.50,332.00,332.00,-2.00,"7,887"
108/12/25,"12,262,954","4,075,131,136",332.00,334.50,331.00,333.00,+1.00,"7,597"
108/12/26,"11,427,884","3,803,665,702",333.00,334.00,331.50,333.00, 0.00,"6,439"
108/12/27,"16,677,806","5,624,251,712",335.00,338.00,335.00,338.00,+5.00,"8,660"
108/12/30,"21,591,263","7,270,827,164",338.00,339.00,334.00,334.50,-3.50,"10,468"
108/12/31,"22,950,517","7,614,538,961",331.00,333.50,331.00,331.00,-3.50,"12,253"
