日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
108/08/13,"17,264,175","431,905,501",25.15,25.20,24.95,24.95,-0.20,"5,832"
108/08/14,"15,529,906","390,343,582",25.05,25.35,25.05,25.05,+0.10,"4,372"
108/08/15,"15,357,660","382,043,097",24.80,24.95,24.75,24.95,-0.10,"4,904"
108/08/16,"20,736,933","519,341,771",24.95,25.25,24.80,25.10,+0.15,"6,941"
108/08/19,"21,781,897","552,204,128",25.20,25.50,25.05,25.40,+0.30,"7,123"
108/08/20,"16,264,561","412,702,405",25.50,25.50,25.25,25.25,-0.15,"4,661"
108/08/21,"17,412,453","436,649,740",25.20,25.20,25.00,25.00,-0.25,"6,691"
108/08/22,"18,790,645","469,315,695",25.05,25.10,24.85,24.85,-0.15,"6,270"
108/08/23,"17,002,058","423,207,778",24.80,25.00,24.80,24.95,+0.10,"4,668"
108/08/26,"15,382,899","381,096,689",24.70,24.90,24.65,24.75,-0.20,"5,127"
108/08/27,"23,384,206","582,397,400",24.80,25.00,24.80,24.90,+0.15,"4,724"
108/08/28,"11,333,947","283,028,879",24.95,25.10,24.90,24.95,+0.05,"3,984"
108/08/29,"13,943,386","346,957,868",24.95,24.95,24.80,24.95, 0.00,"4,701"
108/08/30,"16,751,584","421,247,021",25.05,25.25,25.00,25.25,+0.30,"5,359"
108/09/02,"15,830,783","402,174,622",25.25,25.55,25.20,25.40,+0.15,"5,087"
108/09/03,"20,376,023","521,495,008",25.45,25.75,25.40,25.50,+0.10,"6,770"
108/09/04,"14,264,227","361,682,083",25.50,25.55,25.25,25.30,-0.20,"5,299"
108/09/05,"14,848,799","376,962,055",25.45,25.50,25.25,25.35,+0.05,"5,954"
108/09/06,"8,478,137","215,599,620",25.35,25.50,25.35,25.50,+0.15,"3,646"
108/09/09,"23,728,582","614,758,842",25.75,26.00,25.75,25.95,+0.45,"7,788"
108/09/10,"38,960,599","1,027,861,313",26.05,26.50,26.05,26.50,+0.55,"13,954"
108/09/11,"24,723,762","655,476,573",26.60,26.70,26.35,26.55,+0.05,"9,228"
108/09/12,"18,673,049","494,379,981",26.65,26.65,26.40,26.40,-0.15,"5,606"
108/09/16,"17,943,615","473,467,182",26.50,26.50,26.20,26.35,-0.05,"7,464"
108/09/17,"18,036,503","473,142,076",26.30,26.35,26.10,26.35, 0.00,"6,410"
108/09/18,"16,407,531","434,923,530",26.40,26.60,26.35,26.60,+0.25,"7,205"
108/09/19,"14,931,974","395,346,745",26.60,26.60,26.40,26.60, 0.00,"5,583"
108/09/20,"28,638,192","764,140,253",26.60,26.80,26.45,26.80,+0.20,"5,246"
108/09/23,"13,521,490","360,940,098",26.75,26.75,26.60,26.60,-0.20,"4,342"
108/09/24,"19,454,173","518,773,744",26.60,26.80,26.50,26.75,+0.15,"5,995"
108/09/25,"17,362,882","461,449,529",26.70,26.70,26.50,26.55,-0.20,"4,493"
108/09/26,"11,715,531","309,983,972",26.55,26.60,26.40,26.40,-0.15,"4,400"
108/09/27,"14,058,075","369,837,129",26.40,26.45,26.25,26.25,-0.15,"4,843"
108/10/01,"15,701,480","414,733,359",26.35,26.50,26.30,26.50,+0.25,"4,993"
108/10/02,"10,554,960","278,423,906",26.35,26.45,26.30,26.40,-0.10,"5,103"
108/10/03,"12,760,390","334,510,840",26.20,26.30,26.10,26.20,-0.20,"4,128"
108/10/04,"13,275,819","347,774,350",26.20,26.30,26.15,26.15,-0.05,"4,159"
108/10/07,"8,054,562","211,390,981",26.20,26.30,26.20,26.25,+0.10,"2,661"
108/10/08,"17,795,531","470,766,293",26.50,26.65,26.30,26.30,+0.05,"5,290"
108/10/09,"18,885,806","495,813,843",26.30,26.45,26.10,26.25,-0.05,"6,112"
108/10/14,"21,289,860","560,256,698",26.45,26.50,26.25,26.30,+0.05,"5,959"
108/10/15,"13,539,659","355,608,644",26.30,26.40,26.20,26.40,+0.10,"4,898"
108/10/16,"23,550,130","622,455,898",26.40,26.55,26.30,26.40, 0.00,"5,827"
108/10/17,"15,004,371","395,902,060",26.40,26.45,26.35,26.35,-0.05,"8,010"
108/10/18,"16,280,621","428,963,217",26.45,26.45,26.30,26.40,+0.05,"5,979"
108/10/21,"15,464,152","406,823,726",26.35,26.45,26.25,26.30,-0.10,"4,642"
108/10/22,"15,729,212","416,001,813",26.30,26.55,26.30,26.55,+0.25,"5,164"
108/10/23,"11,100,362","293,380,655",26.50,26.55,26.35,26.35,-0.20,"4,504"
108/10/24,"15,246,479","405,186,901",26.40,26.70,26.40,26.70,+0.35,"4,321"
108/10/25,"10,475,418","279,358,635",26.75,26.75,26.60,26.70, 0.00,"3,872"
108/10/28,"9,041,690","242,013,171",26.70,26.80,26.70,26.80,+0.10,"3,235"
108/10/29,"12,146,111","326,248,493",26.90,26.90,26.80,26.90,+0.10,"4,525"
108/10/30,"40,358,797","1,102,226,150",26.95,27.50,26.90,27.40,+0.50,"12,140"
108/10/31,"39,848,991","1,104,547,033",27.50,27.90,27.45,27.55,+0.15,"14,060"
108/11/01,"20,632,374","563,991,469",27.45,27.50,27.20,27.50,-0.05,"7,512"
108/11/04,"14,323,536","395,846,376",27.55,27.75,27.50,27.75,+0.25,"4,897"
108/11/05,"23,313,425","649,335,460",27.85,27.90,27.75,27.90,+0.15,"6,916"
108/11/06,"14,880,887","414,778,814",27.95,27.95,27.70,27.95,+0.05,"4,869"
108/11/07,"22,660,261","626,586,831",27.85,27.85,27.55,27.60,-0.35,"8,249"
108/11/08,"13,138,254","363,593,474",27.80,27.80,27.60,27.60, 0.00,"4,954"
108/11/11,"25,169,638","687,373,658",27.60,27.60,27.20,27.30,-0.30,"8,318"
108/11/12,"16,260,846","443,445,472",27.30,27.45,27.20,27.25,-0.05,"5,235"
108/11/13,"14,326,387","389,797,592",27.25,27.30,27.15,27.15,-0.10,"5,750"
108/11/14,"13,675,604","370,327,698",27.15,27.20,27.00,27.05,-0.10,"5,302"
108/11/15,"12,025,966","328,178,459",27.15,27.35,27.15,27.25,+0.20,"3,699"
108/11/18,"10,406,489","285,230,962",27.35,27.50,27.30,27.50,+0.25,"3,821"
108/11/19,"10,909,610","300,464,296",27.45,27.65,27.40,27.65,+0.15,"3,782"
108/11/20,"14,394,900","395,377,525",27.55,27.60,27.30,27.55,-0.10,"5,427"
108/11/21,"22,227,683","606,082,151",27.30,27.35,27.20,27.35,-0.20,"7,222"
108/11/22,"12,770,734","347,984,518",27.40,27.40,27.20,27.30,-0.05,"4,497"
108/11/25,"17,728,039","482,164,900",27.30,27.30,27.10,27.15,-0.15,"6,359"
108/11/26,"40,109,369","1,092,872,524",27.30,27.40,27.20,27.20,+0.05,"5,340"
108/11/27,"18,593,046","505,821,604",27.25,27.30,27.10,27.30,+0.10,"5,975"
108/11/28,"9,762,372","265,554,273",27.30,27.30,27.15,27.15,-0.15,"3,859"
108/11/29,"17,982,747","486,558,003",27.15,27.15,27.00,27.05,-0.10,"5,803"
108/12/02,"15,593,187","423,229,033",27.05,27.25,27.00,27.25,+0.20,"4,347"
108/12/03,"13,523,535","369,404,026",27.25,27.40,27.20,27.35,+0.10,"5,469"
108/12/04,"15,571,033","423,284,917",27.25,27.30,27.10,27.25,-0.10,"5,357"
108/12/05,"13,602,965","371,052,204",27.30,27.45,27.15,27.15,-0.10,"4,508"
108/12/06,"7,906,552","214,973,929",27.30,27.30,27.15,27.15, 0.00,"2,460"
108/12/09,"9,240,984","251,395,662",27.25,27.25,27.15,27.25,+0.10,"3,181"
108/12/10,"8,577,764","233,716,908",27.20,27.30,27.15,27.30,+0.05,"2,790"
108/12/11,"8,663,215","236,278,820",27.25,27.30,27.20,27.30, 0.00,"2,712"
108/12/12,"15,457,765","423,957,204",27.35,27.50,27.35,27.40,+0.10,"4,922"
108/12/13,"19,027,915","523,373,425",27.50,27.55,27.40,27.55,+0.15,"6,327"
108/12/16,"14,884,685","411,420,476",27.65,27.75,27.55,27.60,+0.05,"4,578"
108/12/17,"16,161,655","446,996,575",27.65,27.75,27.55,27.75,+0.15,"4,820"
108/12/18,"17,795,771","494,152,199",27.75,27.85,27.65,27.85,+0.10,"5,205"
108/12/19,"13,901,233","385,593,242",27.85,27.85,27.65,27.75,-0.10,"4,279"
108/12/20,"23,366,893","648,414,860",27.75,27.85,27.65,27.75, 0.00,"4,310"
108/12/23,"12,738,204","354,253,897",27.75,27.90,27.70,27.90,+0.15,"4,117"
108/12/24,"9,366,964","261,381,209",27.90,27.95,27.85,27.90, 0.00,"2,931"
108/12/25,"4,871,634","136,016,234",27.95,27.95,27.85,27.90, 0.00,"2,417"
108/12/26,"5,674,947","158,167,487",27.95,27.95,27.85,27.85,-0.05,"2,146"
108/12/27,"6,804,965","190,015,167",27.90,27.95,27.85,27.95,+0.10,"2,679"
108/12/30,"12,021,884","336,093,752",27.95,28.00,27.90,28.00,+0.05,"3,980"
108/12/31,"8,970,821","250,497,384",27.95,28.00,27.90,27.90,-0.10,"3,694"
